location,zone,aisle,side,bay,level,x,y,direction
R01-L1-1,pallet reserve,R01,L,1,1,26,64.5,
R01-L1-2,pallet reserve,R01,L,1,2,26,64.5,
R01-L1-3,pallet reserve,R01,L,1,3,26,64.5,
R01-L1-4,pallet reserve,R01,L,1,4,26,64.5,
R01-L2-1,pallet reserve,R01,L,2,1,26,73.5,
R01-L2-2,pallet reserve,R01,L,2,2,26,73.5,
R01-L2-3,pallet reserve,R01,L,2,3,26,73.5,
R01-L2-4,pallet reserve,R01,L,2,4,26,73.5,
R01-L3-1,pallet reserve,R01,L,3,1,26,82.5,
R01-L3-2,pallet reserve,R01,L,3,2,26,82.5,
R01-L3-3,pallet reserve,R01,L,3,3,26,82.5,
R01-L3-4,pallet reserve,R01,L,3,4,26,82.5,
R01-L4-1,pallet reserve,R01,L,4,1,26,91.5,
R01-L4-2,pallet reserve,R01,L,4,2,26,91.5,
R01-L4-3,pallet reserve,R01,L,4,3,26,91.5,
R01-L4-4,pallet reserve,R01,L,4,4,26,91.5,
R01-L5-1,pallet reserve,R01,L,5,1,26,100.5,
R01-L5-2,pallet reserve,R01,L,5,2,26,100.5,
R01-L5-3,pallet reserve,R01,L,5,3,26,100.5,
R01-L5-4,pallet reserve,R01,L,5,4,26,100.5,
R01-L6-1,pallet reserve,R01,L,6,1,26,109.5,
R01-L6-2,pallet reserve,R01,L,6,2,26,109.5,
R01-L6-3,pallet reserve,R01,L,6,3,26,109.5,
R01-L6-4,pallet reserve,R01,L,6,4,26,109.5,
R01-L7-1,pallet reserve,R01,L,7,1,26,118.5,
R01-L7-2,pallet reserve,R01,L,7,2,26,118.5,
R01-L7-3,pallet reserve,R01,L,7,3,26,118.5,
R01-L7-4,pallet reserve,R01,L,7,4,26,118.5,
R01-L8-1,pallet reserve,R01,L,8,1,26,127.5,
R01-L8-2,pallet reserve,R01,L,8,2,26,127.5,
R01-L8-3,pallet reserve,R01,L,8,3,26,127.5,
R01-L8-4,pallet reserve,R01,L,8,4,26,127.5,
R01-L9-1,pallet reserve,R01,L,9,1,26,136.5,
R01-L9-2,pallet reserve,R01,L,9,2,26,136.5,
R01-L9-3,pallet reserve,R01,L,9,3,26,136.5,
R01-L9-4,pallet reserve,R01,L,9,4,26,136.5,
R01-L10-1,pallet reserve,R01,L,10,1,26,145.5,
